validation_type,model,test_mae,test_rmse,test_r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
random,Random Forest,9.283484488759349,20.308443815413746,-0.7345987771208806,6.905031926478695,1.9179144507381405,15.073198596537072,12.639826152422634,-0.22622361277866676,0.27468084771516726
random,Extra Trees,7.1390790719696975,16.131259682266933,-0.09441568688180468,6.550933333333333,1.8639241356735674,14.642248678116257,12.8604384528761,-0.07975666487271063,0.10361272997760759
random,Gradient Boosting,6.134962837518737,15.148286329879157,0.03489902307003079,6.402857421303341,1.8607177262125758,14.510217495904556,13.02081604297161,-0.027080078113111104,0.08539978083628301
random,Random Forest Tuned,7.493072547844047,16.322726216320866,-0.12054973360023546,6.80115851221286,1.835616353574979,14.926726658943782,12.623102965407192,-0.18089359465672752,0.18679218532439928
chronological,Random Forest,5.473350152294044,6.698838201467377,-0.4083331418460441,16.094940202757012,11.038868431904275,21.493756351881352,14.43176446895738,-13.779341300534938,17.659366911163797
chronological,Extra Trees,5.337914299242425,6.466963347350974,-0.31252390492535476,12.06380445402299,8.35248146113747,15.508998133068786,11.931678513060042,-7.486284162014064,11.94326050317825
chronological,Gradient Boosting,4.652287587771317,5.498351616037768,0.0512070666286123,6.196787095674587,1.3612997719485371,7.485506954140514,1.654133378089368,-0.40932859394539634,0.31877351673932713
chronological,Random Forest Tuned,5.601409877643888,7.031967656197202,-0.551887203084368,13.094597761278603,7.215972704966712,16.77302384173151,9.324951824825169,-7.081035900555287,7.638680894221054
