feature_set,model,accuracy,precision_macro,recall_macro,f1_macro,cv_f1_macro_mean,cv_f1_macro_std
raw,Extra Trees,0.9306930693069307,0.31023102310231027,0.3333333333333333,0.3213675213675214,0.3887911502823643,0.08609568336063553
all,Extra Trees,0.9306930693069307,0.31023102310231027,0.3333333333333333,0.3213675213675214,0.3877588142264024,0.08566452155334522
all,Random Forest,0.9306930693069307,0.31023102310231027,0.3333333333333333,0.3213675213675214,0.36119693725759955,0.08313898097110814
raw,Random Forest,0.9306930693069307,0.31023102310231027,0.3333333333333333,0.3213675213675214,0.3342554341082671,0.06119803379437657
all,Logistic Regression,0.5544554455445545,0.35218318749727917,0.3859338061465721,0.2991248817407758,0.27541465983834407,0.02514749726804786
raw,Logistic Regression,0.49504950495049505,0.3803921568627451,0.392434988179669,0.3232537577365164,0.24968919895692587,0.04796812259332155
