feature,importance
influent_bod5,0.22093226694363502
flow_m3_day,0.12594320703822998
bod5_loading,0.11236433156460017
influent_cod,0.0946545441702019
influent_zinc,0.06851096128195526
influent_vss,0.061732444155057326
vss_loading,0.051003795095223764
tss_loading,0.04257266089659875
cod_bod5_ratio,0.0398660549199607
influent_conductivity,0.03537911155294901
vss_tss_ratio,0.03159518529835482
sed_tss_ratio,0.028346100185994972
influent_ph,0.02601930983132323
influent_tss,0.02367611871940569
tss_bod5_ratio,0.017920578255158078
cod_loading,0.013786019543883437
influent_sediments,0.005697310547467899
