model,test_mae,test_rmse,test_r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,validation
Random Forest Tuned,5.303245139730711,6.975124592424625,-0.0662261561090769,7.899654262368489,1.9796387553772827,17.308111554870656,11.93385545900525,-0.797054596530978,0.72302696478688,random
Extra Trees,5.9540579710144925,8.032387896137093,-0.41395223651474256,7.983626558064914,1.8078166705604395,18.02206318463039,11.97893827082612,-1.000493588410708,0.8627976551405715,random
Random Forest,5.883731884057972,8.596096905272237,-0.6193771187337886,8.341657904479822,2.7162415369966357,18.66474860067671,13.677001457246876,-0.9138663823210871,0.8099218544431414,random
Gradient Boosting,5.971765266101781,7.8000982905017775,-0.3333542323527787,9.13510214720014,3.2373549961729453,22.916891671191728,17.0244955008943,-2.3834511996343775,2.647748924956326,random
Random Forest Tuned,5.365466455732984,6.747379834334986,-0.33812664295391603,7.723277926732786,1.8420257806583586,16.09614559711253,12.68348716405088,-0.7262007530598721,0.6567719361189441,chronological
Gradient Boosting,5.241831741807505,6.434472940465596,-0.21689430279676358,7.74947119804816,2.1567477066756213,16.843761334339693,12.482607089177229,-1.0683788368203906,1.3176137309658997,chronological
Extra Trees,5.2775,6.543729204987976,-0.25857047102350994,7.7764402073306185,1.839155243705402,16.1315912605493,12.71328107050738,-0.7594577872720769,0.8188374510769723,chronological
Random Forest,5.252463768115942,6.541727083631277,-0.25780044364035115,8.162338886832037,2.3718305750458,17.178777604865935,12.991878476991825,-0.973147968816629,1.01105906003961,chronological
