bod5_range,observations,mae,rmse,mean_error,median_error,minimum_actual,maximum_actual,dataset
low_<=20,64,4.5787536212417095,5.254774378992801,-3.4282285635375884,-3.943902395825223,6.0,20.0,chronological
moderate_21_30,23,4.470385972334748,5.555270192430538,4.470385972334748,3.2617077109743633,21.0,29.0,chronological
high_31_50,1,13.542198600707252,13.542198600707252,13.542198600707252,13.542198600707252,33.0,33.0,chronological
very_high_>50,0,,,,,,,chronological
low_<=20,65,3.8497882340168643,4.5477906482455985,-2.743039666416367,-2.9407989250107924,6.0,20.0,random
moderate_21_30,19,6.436853064552716,7.21501512840968,6.436853064552716,6.280105930281245,21.0,30.0,random
high_31_50,3,11.774388509833093,11.99253035430987,11.774388509833093,11.093001714127297,31.0,33.0,random
very_high_>50,1,132.01712073455172,132.01712073455172,132.01712073455172,132.01712073455172,152.0,152.0,random
