model,test_mae,test_rmse,test_r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
Random Forest Tuned,5.503724801651189,7.1282069309252085,-0.11354043177901274,7.394064771532517,1.2845759829481427,16.169662120629877,11.965044707952178,-0.511148163920032,0.5904470409501127
Random Forest,5.9147463768115935,8.768343732518371,-0.684924813403208,7.642451437739109,1.604005713751806,16.66778510960502,12.058735618347443,-0.7003790548666713,0.8799710457872087
Gradient Boosting,5.930064004986261,8.873729529729184,-0.7256700739743855,7.664205521428569,1.7427432266528955,17.16664975800141,11.666162059536045,-0.9980076834785019,1.352033606506131
Extra Trees,5.582499999999999,7.546073146182471,-0.2479219231380021,7.846045168456127,1.6305835951061012,17.762877421451897,11.641695673393766,-1.01227192917808,0.9822728779835667
