model,test_mae,test_rmse,test_r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,validation
Gradient Boosting,6.364478437148063,9.317632480056432,-0.6507093727808784,7.787571830125209,1.8261148605410933,19.413161314172104,11.35007249655015,-2.8590535945527265,5.95853726543897,random
Extra Trees,5.454848484848484,7.297816921393809,-0.01261741649725523,7.884276190476188,1.7526171742959689,18.130187497776127,11.470821526826455,-0.9268100678004532,1.24614823885221,random
Random Forest Tuned,5.806101568920241,7.934327764263861,-0.19696027900383561,8.028085287592669,1.3530730280346976,17.51195878295458,11.265301976841895,-0.709074856557262,0.6228264544782139,random
Random Forest,5.718598484848485,7.621913375924775,-0.10455534560517332,8.644028571428573,1.110872395014177,19.23001736845121,10.462503667264421,-1.3429991574773874,1.1850137920777994,random
Gradient Boosting,5.67902640406387,6.860500840621711,-0.47712778264980416,7.786454590154078,2.0793300736495635,18.215738773977325,13.272907994245308,-1.8122069115917754,3.1298145933123496,chronological
Random Forest Tuned,5.521469440055455,6.852799693690685,-0.4738133909992843,7.901625893795246,1.9210967906341265,16.24658746820204,13.18562939038088,-0.7194326735161287,0.8531625780491665,chronological
Extra Trees,5.3219318181818185,6.409344907747175,-0.2892398143157362,8.167190476190477,1.89320803725729,18.286844873986688,12.916591444442288,-1.9188984724713365,3.1429391925452284,chronological
Random Forest,5.484848484848485,6.7324043200993895,-0.4224820764432342,8.455304761904761,1.7763121120740955,17.425957177211117,12.40999541368745,-1.212541796328532,0.9266881743993216,chronological
